"ID";"Woningkenmerken";"RegioS";"Perioden";"GemiddeldAardgasverbruik_1";"GemiddeldElektriciteitsverbruik_2";"Stadsverwarming_3"
"96";"T001100";"PV27  ";"2010JJ00";"    1650";"    3000";"       ."
"97";"T001100";"PV27  ";"2011JJ00";"    1300";"    3000";"       ."
"98";"T001100";"PV27  ";"2012JJ00";"    1350";"    2950";"     5.1"
"99";"T001100";"PV27  ";"2013JJ00";"    1450";"    2900";"     4.9"
"100";"T001100";"PV27  ";"2014JJ00";"    1100";"    2800";"     4.8"
"101";"T001100";"PV27  ";"2015JJ00";"    1140";"    2740";"     6.0"
"102";"T001100";"PV27  ";"2016JJ00";"    1190";"    2680";"     6.2"
"103";"T001100";"PV27  ";"2017JJ00";"    1130";"    2620";"     6.5"
"104";"T001100";"PV28  ";"2010JJ00";"    1600";"    3100";"     6.0"
"105";"T001100";"PV28  ";"2011JJ00";"    1250";"    3050";"     6.0"
"106";"T001100";"PV28  ";"2012JJ00";"    1300";"    3000";"     6.2"
"107";"T001100";"PV28  ";"2013JJ00";"    1400";"    2950";"     6.1"
"108";"T001100";"PV28  ";"2014JJ00";"    1050";"    2850";"     5.9"
"109";"T001100";"PV28  ";"2015JJ00";"    1090";"    2810";"     6.6"
"110";"T001100";"PV28  ";"2016JJ00";"    1120";"    2770";"     6.7"
"111";"T001100";"PV28  ";"2017JJ00";"    1080";"    2730";"     6.7"
"112";"T001100";"PV29  ";"2010JJ00";"    1850";"    3100";"       ."
"113";"T001100";"PV29  ";"2011JJ00";"    1450";"    3100";"       ."
"114";"T001100";"PV29  ";"2012JJ00";"    1550";"    3000";"     0.5"
"115";"T001100";"PV29  ";"2013JJ00";"    1650";"    3000";"     0.5"
"116";"T001100";"PV29  ";"2014JJ00";"    1250";"    2850";"     0.5"
"117";"T001100";"PV29  ";"2015JJ00";"    1330";"    2800";"     0.5"
"118";"T001100";"PV29  ";"2016JJ00";"    1360";"    2740";"     0.5"
"119";"T001100";"PV29  ";"2017JJ00";"    1280";"    2670";"     0.5"
"120";"T001100";"PV30  ";"2010JJ00";"    1950";"    3600";"       ."
"121";"T001100";"PV30  ";"2011JJ00";"    1500";"    3550";"       ."
